CURSO_ACADEMICO,LOCALIDAD,ESTUDIO,TIPO_ESTUDIO,TIPO_EGRESO,SEXO,ALUMNOS_GRADUADOS,ALUMNOS_INTERRUMPEN_ESTUDIOS,ALUMNOS_INTERRUMPEN_EST_ANO1,ALUMNOS_TRASLADAN_OTRA_UNIV,DURACION_MEDIA_GRADUADOS,TASA_EFICIENCIA,FECHA_ACTUALIZACION
2021,Almunia de Doña Godina (La),Grado: Arquitectura Técnica,Grado,Abandono Voluntario,Hombres,0,12,5,0,,,30/10/2022
2021,Almunia de Doña Godina (La),Grado: Arquitectura Técnica,Grado,Abandono Voluntario,Mujeres,0,5,3,0,,,30/10/2022
2021,Almunia de Doña Godina (La),Grado: Arquitectura Técnica,Grado,Cambio de estudios sin simultaneidad,Mujeres,0,1,1,0,,,30/10/2022
2021,Almunia de Doña Godina (La),Grado: Arquitectura Técnica,Grado,Graduado,Hombres,5,0,0,0,"7,00","70,00",30/10/2022
2021,Almunia de Doña Godina (La),Grado: Arquitectura Técnica,Grado,Graduado,Mujeres,2,0,0,0,"11,00","75,72",30/10/2022
2021,Almunia de Doña Godina (La),Grado: Ingeniería Civil,Grado,Abandono Voluntario,Hombres,0,1,1,0,,,30/10/2022
2021,Almunia de Doña Godina (La),Grado: Ingeniería Civil,Grado,Graduado,Hombres,2,0,0,0,"6,00","71,34",30/10/2022
2021,Almunia de Doña Godina (La),Grado: Ingeniería Civil,Grado,Incumple Régimen de permanencia,Mujeres,0,1,0,0,,,30/10/2022
2021,Almunia de Doña Godina (La),Grado: Ingeniería de Organización Industrial,Grado,Abandono Voluntario,Hombres,0,12,7,0,,,30/10/2022
2021,Almunia de Doña Godina (La),Grado: Ingeniería de Organización Industrial,Grado,Abandono Voluntario,Mujeres,0,2,1,0,,,30/10/2022
2021,Almunia de Doña Godina (La),Grado: Ingeniería de Organización Industrial,Grado,Cambio de estudios sin simultaneidad,Hombres,0,4,3,0,,,30/10/2022
2021,Almunia de Doña Godina (La),Grado: Ingeniería de Organización Industrial,Grado,Graduado,Hombres,14,0,0,0,"5,25","76,74",30/10/2022
2021,Almunia de Doña Godina (La),Grado: Ingeniería de Organización Industrial,Grado,Graduado,Mujeres,6,0,0,0,"5,00","90,70",30/10/2022
2021,Almunia de Doña Godina (La),Grado: Ingeniería Mecatrónica,Grado,Abandono Voluntario,Hombres,0,14,3,0,,,30/10/2022
2021,Almunia de Doña Godina (La),Grado: Ingeniería Mecatrónica,Grado,Cambio de estudios sin simultaneidad,Hombres,0,5,2,0,,,30/10/2022
2021,Almunia de Doña Godina (La),Grado: Ingeniería Mecatrónica,Grado,Graduado,Hombres,21,0,0,0,"5,00","84,57",30/10/2022
2021,Almunia de Doña Godina (La),Grado: Ingeniería Mecatrónica,Grado,Graduado,Mujeres,1,0,0,0,,,30/10/2022
2021,Almunia de Doña Godina (La),Grado: Programa conjunto en Ingeniería Mecatrónica-Ingeniería de Organización  Industrial,Grado,Cambio de estudios sin simultaneidad,Hombres,0,1,1,0,,,30/10/2022
2021,Huesca,Grado: Administración y Dirección de Empresas,Grado,Abandono Voluntario,Hombres,0,21,11,0,,,30/10/2022
2021,Huesca,Grado: Administración y Dirección de Empresas,Grado,Abandono Voluntario,Mujeres,0,11,4,0,,,30/10/2022
2021,Huesca,Grado: Administración y Dirección de Empresas,Grado,Cambio de estudios sin simultaneidad,Hombres,0,1,0,0,,,30/10/2022
2021,Huesca,Grado: Administración y Dirección de Empresas,Grado,Cambio de estudios sin simultaneidad,Mujeres,0,3,2,0,,,30/10/2022
2021,Huesca,Grado: Administración y Dirección de Empresas,Grado,Graduado,Hombres,5,0,0,0,"6,25","69,97",30/10/2022
