Periodo,FechaNotificacion,UsuarioID,Rol,Actividad,TipoNotificacion,DiasAntes,MinutosAntes,HorasDespues,EstadoNotificacion,RespuestaRecibida,TiempoRespuesta,ExitoEntrega,Efectividad
2022-2,2022-11-03,7605,Docente,Inicio de Ciclo,Justificación,2,10,0,Enviada,1,17,Éxito,Media
2022-2,2022-08-11,9112,Estudiante,Tercera Práctica Calificada,Preparación,5,0,0,Enviada,1,27,Éxito,Baja
2021-1,2021-02-14,8490,Estudiante,Examen Sustitutorio,Justificación,0,0,0,Pendiente,0,0,Fallo,Nula
2020-1,2020-02-21,1231,Docente,Segunda Práctica Calificada,Justificación,1,0,0,Enviada,0,0,Éxito,Nula
2023-2,2023-10-17,4417,Docente,Examen Parcial,Preparación,5,0,0,Fallida,0,0,Fallo,Nula
2020-2,2020-08-28,8186,Estudiante,Segunda Práctica Calificada,Preparación,3,0,0,Enviada,0,0,Éxito,Nula
2021-1,2021-05-17,1310,Estudiante,Primera Práctica Calificada,Asistencia,5,0,0,Pendiente,0,0,Fallo,Nula
2022-1,2022-03-17,10260,Estudiante,Segunda Práctica Calificada,Recordatorio,5,0,0,Enviada,1,10,Éxito,Baja
2021-2,2021-12-31,11370,Estudiante,Inicio de Ciclo,Seguimiento,1,15,0,Enviada,1,12,Éxito,Alta
2021-2,2021-12-21,12943,Docente,Examen Parcial,Preparación,5,0,0,Enviada,0,0,Éxito,Nula
2020-2,2020-11-30,11630,Estudiante,Examen Parcial,Asistencia,5,0,0,Enviada,1,9,Éxito,Baja
2020-2,2020-09-22,10264,Estudiante,Cierre de Ciclo,Asistencia,0,15,0,Fallida,0,0,Fallo,Nula
2023-2,2023-10-24,12694,Estudiante,Primera Práctica Calificada,Preparación,3,0,0,Enviada,0,0,Éxito,Nula
2021-2,2021-10-14,1197,Docente,Examen Final,Seguimiento,7,0,0,Pendiente,0,0,Fallo,Nula
2024-1,2024-05-24,11556,Estudiante,Cierre de Ciclo,Preparación,2,10,0,Enviada,1,26,Éxito,Baja
2022-1,2022-04-20,4307,Estudiante,Segunda Práctica Calificada,Recordatorio,5,0,0,Enviada,1,16,Éxito,Alta
2021-1,2021-03-26,5702,Estudiante,Cuarta Práctica Calificada,Preparación,3,0,0,Enviada,1,13,Éxito,Media
2022-2,2022-12-30,4204,Estudiante,Inicio de Ciclo,Seguimiento,2,15,0,Enviada,1,16,Éxito,Baja
2020-2,2020-10-12,11173,Docente,Segunda Práctica Calificada,Seguimiento,1,0,0,Pendiente,0,0,Fallo,Nula
